"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-15","2004-05-21",1260,"FLORENCIO VARELA Nº 3","Buenos Aires","Nacional","2004","18","SEDAN 3 PTAS","34","PEUGEOT","CL","206 XS 1.6 3P","1","Privado","Física","LUIS GUILLÓN","BUENOS AIRES","Femenino","1979","URUGUAY",100,"06","URY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-16","2000-03-14",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2000","18","SEDAN 3 PUERTAS","53","VOLKSWAGEN","44","GOL 1.6","1","Privado","Física","GONZÁLEZ CATÁN","BUENOS AIRES","Femenino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-03","2007-07-20",1224,"MERLO Nº 3","Buenos Aires","Nacional","2007","18","SEDAN 3 PTAS","08","CHEVROLET","BF","CORSA CLASSIC 3P AA+DIR 1.6N","1","Privado","Física","LIBERTAD","BUENOS AIRES","Masculino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-02","1993-07-14",1264,"ADROGUE Nº 5","Buenos Aires","Nacional","1993","18","SEDAN 3 PUERTAS","53","VOLKSWAGEN","11","GOL GL","1","Privado","Física","GLEW","BUENOS AIRES","Masculino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-01","1994-10-27",1273,"MORENO Nº 4","Buenos Aires","Nacional","1994","18","SEDAN 3 PTAS","53","VOLKSWAGEN","11","GOL GL","1","Privado","Física","MORENO","BUENOS AIRES","No identificado","1966","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-10","2007-08-17",1253,"LA PLATA Nº 13","Buenos Aires","Nacional","2007","18","SEDAN 3 PTAS","08","CHEVROLET","BF","CORSA CLASSIC 3P AA+DIR 1.6N","1","Privado","Física","LOS HORNOS","BUENOS AIRES","Masculino","1998","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-01","2003-11-19",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","2003","18","SEDAN 3 PUERTAS","34","PEUGEOT","DD","206 XN 1.4 3P","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","Femenino","1996","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-21","2000-01-11",1219,"LA PLATA Nº 09","Buenos Aires","Nacional","20","18","SIN ESPECIFICACION","37","RENAULT","EL","CLIO RL DIESEL 3 PTAS DA","1","Privado","Física","TOLOSA","BUENOS AIRES","Femenino","1961","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-02","1999-08-19",1257,"MORENO Nº 3","Buenos Aires","Nacional","1999","18","SEDAN 3 PUERTAS","37","RENAULT","DT","CLIO RN 3 PTAS. PACK AA DA","1","Privado","Física","TRUJUI","BUENOS AIRES","Femenino","1974","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-21","1993-08-23",1219,"LA PLATA Nº 09","Buenos Aires","Nacional","1993","18","SEDAN 3 PTAS","53","VOLKSWAGEN","11","GOL GL","1","Privado","Física","LA PLATA","BUENOS AIRES","Femenino","1959","ARGENTINA",100,"06","ARG"
